lemma,poscode,surface
"Eldon Base for stackable storage shelf, platinum",3,
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",3,
"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",3,
R380,3,
Holmes HEPA Air Purifier,3,
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,3,
"Angle-D Binders with Locking Rings, Label Holders",3,
"SAFCO Mobile Desk Side File, Wire Frame",3,
"SAFCO Commercial Wire Shelving, Black",3,
Xerox 198,3,
Xerox 1980,3,
Advantus Map Pennant Flags and Round Head Tacks,3,
Holmes HEPA Air Purifier,3,
"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",3,
"Wilson Jones 1"" Hanging DublLock® Ring Binders",3,
Ultra Commercial Grade Dual Valve Door Closer,3,
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",3,
Hon 4-Shelf Metal Bookcases,3,
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",3,
g520,3,
LX 788,3,
Avery 52,3,
Plymouth Boxed Rubber Bands by Plymouth,3,
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",3,
"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",3,
Newell 335,3,
SANFORD Liquid Accent™ Tank-Style Highlighters,3,
Canon PC940 Copier,3,
"Tenex Personal Project File with Scoop Front Design, Black",3,
Col-Erase® Pencils with Erasers,3,
"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",3,
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",3,
Self-Adhesive Address Labels for Typewriters by Universal,3,
Accessory37,3,
Fuji 5.2GB DVD-RAM,3,
Bevis Steel Folding Chairs,3,
Avery Binder Labels,3,
Hon Every-Day® Chair Series Swivel Task Chairs,3,
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",3,
Global Troy™ Executive Leather Low-Back Tilter,3,
XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,3,
Computer Printout Paper with Letter-Trim Perforations,3,
6160,3,
Avery 49,3,
Hoover Portapower™ Portable Vacuum,3,
Timeport L7089,3,
Avery 510,3,
Xerox 1881,3,
LX 788,3,
"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",3,
"Memorex 4.7GB DVD-RAM, 3/Pack",3,
Unpadded Memo Slips,3,
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",3,
"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",3,
Bell Sonecor JB700 Caller ID,3,
Avery Arch Ring Binders,3,
APC 7 Outlet Network SurgeArrest Surge Protector,3,
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",3,
Accessory4,3,
Personal Creations™ Ink Jet Cards and Labels,3,
High Speed Automatic Electric Letter Opener,3,
Xerox 1966,3,
Xerox 213,3,
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",3,
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),3,
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3,
Crate-A-Files™,3,
"Angle-D Binders with Locking Rings, Label Holders",3,
"80 Minute CD-R Spindle, 100/Pack - Staples",3,
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",3,
12-1/2 Diameter Round Wall Clock,3,
SAFCO Arco Folding Chair,3,
"#10 White Business Envelopes,4 1/8 x 9 1/2",3,
3M Office Air Cleaner,3,
"Global Leather and Oak Executive Chair, Black",3,
Xerox 1936,3,
Xerox 214,3,
Carina Double Wide Media Storage Towers in Natural & Black,3,
Staples® General Use 3-Ring Binders,3,
Xerox 1904,3,
Luxo Professional Combination Clamp-On Lamps,3,
Xerox 217,3,
Revere Boxed Rubber Bands by Revere,3,
"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",3,
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",3,
Hon 4070 Series Pagoda™ Round Back Stacking Chairs,3,
Xerox 1887,3,
Xerox 1891,3,
Avery 506,3,
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3,
"Lifetime Advantage™ Folding Chairs, 4/Carton",3,
Microsoft Natural Multimedia Keyboard,3,
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",3,
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",3,
Bevis Boat-Shaped Conference Table,3,
"Linden® 12"" Wall Clock With Oak Frame",3,
Newell 326,3,
Prismacolor Color Pencil Set,3,
Xerox Blank Computer Paper,3,
600 Series Flip,3,
Fellowes Recycled Storage Drawers,3,
Satellite Sectional Post Binders,3,
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,3,
Avery 487,3,
Bevis Round Conference Table Top & Single Column Base,3,
"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",3,
Hanging Personal Folder File,3,
"Bevis Round Conference Table Top, X-Base",3,
5125,3,
Electrix Halogen Magnifier Lamp,3,
Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,3,
Fellowes Black Plastic Comb Bindings,3,
Polycom ViewStation™ Adapter H323 Videoconferencing Unit,3,
Hon GuestStacker Chair,3,
Eldon® Wave Desk Accessories,3,
Sharp AL-1530CS Digital Copier,3,
"Tennsco Lockers, Gray",3,
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",3,
Newell 323,3,
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,3,
Spiral Phone Message Books with Labels by Adams,3,
Crate-A-Files™,3,
Bell Sonecor JB700 Caller ID,3,
Holmes 99% HEPA Air Purifier,3,
Xerox 224,3,
Xerox 1906,3,
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",3,
Xerox 188,3,
Xerox 1932,3,
GBC Linen Binding Covers,3,
GBC Recycled Grain Textured Covers,3,
"Sauder Facets Collection Library, Sky Alder Finish",3,
"Fellowes Basic 104-Key Keyboard, Platinum",3,
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,3,
O'Sullivan 3-Shelf Heavy-Duty Bookcases,3,
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,3,
Panasonic KX-P1150 Dot Matrix Printer,3,
Newell 327,3,
Xerox 1893,3,
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,
Eldon Radial Chair Mat for Low to Medium Pile Carpets,3,
